,NETWORKNAME,CONVNAME,BATCHSIZE,INPUT_CHANNEL,INPUT_SIZE,OUTPUT_CHANNEL,KERNEL_SIZE,STRIDE,PADDING,OUTPUT_SIZE,256x64_TILE_NUMS,256x96_TILE_NUMS,192x64_TILE_NUMS,384x64_TILE_NUMS,256x64_FAKE_AP_USAGE,256x64_REAL_AP_USAGE,256x96_FAKE_AP_USAGE,256x96_REAL_AP_USAGE,192x64_FAKE_AP_USAGE,192x64_REAL_AP_USAGE,384x64_FAKE_AP_USAGE,384x64_REAL_AP_USAGE
101,resnet50,Conv2d-49_back_data,128,512,9x9,512,3x3,"(1, 1)","(0, 0)",7x7,"(25, 8)","(25, 6)","(33, 8)","(17, 8)",0.9259259259259259,0.9074074074074074,0.6944444444444444,0.6049382716049382,1.2222222222222223,1.2098765432098766,0.6296296296296297,0.6049382716049383
102,resnet50,Conv2d-50_back_data,128,2048,7x7,512,1x1,"(1, 1)","(0, 0)",7x7,"(25, 8)","(25, 6)","(33, 8)","(17, 8)",0.9259259259259259,0.9074074074074074,0.6944444444444444,0.6049382716049382,1.2222222222222223,1.2098765432098766,0.6296296296296297,0.6049382716049383
103,resnet50,Conv2d-51_back_data,128,512,7x7,2048,1x1,"(1, 1)","(0, 0)",7x7,"(25, 32)","(25, 22)","(33, 32)","(17, 32)",3.7037037037037037,3.6296296296296298,2.5462962962962963,2.4197530864197527,4.888888888888889,4.839506172839506,2.5185185185185186,2.419753086419753
104,resnet50,Conv2d-52_back_data,128,512,9x9,512,3x3,"(1, 1)","(0, 0)",7x7,"(25, 8)","(25, 6)","(33, 8)","(17, 8)",0.9259259259259259,0.9074074074074074,0.6944444444444444,0.6049382716049382,1.2222222222222223,1.2098765432098766,0.6296296296296297,0.6049382716049383
105,resnet50,Conv2d-53_back_data,128,2048,7x7,512,1x1,"(1, 1)","(0, 0)",7x7,"(25, 8)","(25, 6)","(33, 8)","(17, 8)",0.9259259259259259,0.9074074074074074,0.6944444444444444,0.6049382716049382,1.2222222222222223,1.2098765432098766,0.6296296296296297,0.6049382716049383
0,resnet50,Conv2d-1_back_weights,3,64,224x224,64,112x112,"(1, 1)","(1, 1)",7x7,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",0.004629629629629629,0.0026584201388888886,0.004629629629629629,0.0017722800925925924,0.004629629629629629,0.003544560185185185,0.004629629629629629,0.0017722800925925924
1,resnet50,Conv2d-2_back_weights,64,64,56x56,64,56x56,"(1, 1)","(1, 1)",1x1,"(1, 1)","(1, 1)","(1, 1)","(1, 1)",0.004629629629629629,0.0011574074074074073,0.004629629629629629,0.0007716049382716049,0.004629629629629629,0.0015432098765432098,0.004629629629629629,0.0007716049382716049
2,resnet50,Conv2d-3_back_weights,64,64,56x56,64,56x56,"(1, 1)","(1, 1)",3x3,"(3, 1)","(3, 1)","(3, 1)","(2, 1)",0.013888888888888888,0.010416666666666666,0.013888888888888888,0.006944444444444444,0.013888888888888888,0.013888888888888888,0.009259259259259259,0.006944444444444444
3,resnet50,Conv2d-4_back_weights,64,64,56x56,256,56x56,"(1, 1)","(1, 1)",1x1,"(1, 4)","(1, 3)","(1, 4)","(1, 4)",0.018518518518518517,0.004629629629629629,0.013888888888888888,0.0030864197530864196,0.018518518518518517,0.006172839506172839,0.018518518518518517,0.0030864197530864196
4,resnet50,Conv2d-5_back_weights,64,64,56x56,256,56x56,"(1, 1)","(1, 1)",1x1,"(1, 4)","(1, 3)","(1, 4)","(1, 4)",0.018518518518518517,0.004629629629629629,0.013888888888888888,0.0030864197530864196,0.018518518518518517,0.006172839506172839,0.018518518518518517,0.0030864197530864196
5,resnet50,Conv2d-6_back_weights,256,64,56x56,64,56x56,"(1, 1)","(1, 1)",1x1,"(1, 1)","(1, 1)","(2, 1)","(1, 1)",0.004629629629629629,0.004629629629629629,0.004629629629629629,0.0030864197530864196,0.009259259259259259,0.006172839506172839,0.004629629629629629,0.0030864197530864196
